YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2017082818, MD,34,165,190,205,125,1006,290,50,0,0,0,0,0,      SANVU
2017082900, MD,34,165,190,205,125,1006,290,50,0,0,0,0,0,      SANVU
2017082906, TS,34,165,190,205,125,1006,285,50,0,0,0,0,0,      SANVU
2017082912, TS,34,165,190,205,125,1006,280,50,0,0,0,0,0,      SANVU
2017082918, TS,34,200,180,205,150,1005,300,70,65,0,0,0,0,      SANVU
2017082918, TS,50,100,130,140,125,1005,300,70,65,0,0,0,0,      SANVU
2017083000, TS,34,270,310,90,150,1005,300,70,0,0,0,0,0,      SANVU
2017083000, TS,50,155,180,40,80,1005,300,70,0,0,0,0,0,      SANVU
2017083006, TS,34,270,310,150,135,1004,370,70,0,0,0,0,0,      SANVU
2017083006, TS,50,120,140,80,90,1004,370,70,0,0,0,0,0,      SANVU
2017083012, TS,34,160,120,150,215,1004,360,50,0,0,0,0,0,      SANVU
2017083012, TS,50,85,75,90,105,1004,360,50,0,0,0,0,0,      SANVU
2017083018, TS,34,160,120,150,215,1005,380,35,0,0,0,0,0,      SANVU
2017083018, TS,50,85,75,90,105,1005,380,35,0,0,0,0,0,      SANVU
2017083100, TS,34,160,120,150,215,1006,380,25,0,0,0,0,0,      SANVU
2017083100, TS,50,85,75,90,105,1006,380,25,0,0,0,0,0,      SANVU
2017083106, TY,34,145,120,150,190,1006,390,20,0,30,0,0,0,      SANVU
2017083106, TY,50,85,85,90,100,1006,390,20,0,30,0,0,0,      SANVU
2017083106, TY,64,35,35,35,40,1006,390,20,0,30,0,0,0,      SANVU
2017083109, TY,34,210,290,185,180,1006,390,20,0,0,0,0,0,      SANVU
2017083109, TY,50,115,170,100,100,1006,390,20,0,0,0,0,0,      SANVU
2017083112, TY,34,215,190,160,130,1006,390,20,0,30,0,0,0,      SANVU
2017083112, TY,50,60,60,80,95,1006,390,20,0,30,0,0,0,      SANVU
2017083112, TY,64,35,35,35,35,1006,390,20,0,30,0,0,0,      SANVU
2017083118, TY,34,135,140,140,150,1002,395,12,0,15,0,0,0,      SANVU
2017083118, TY,50,70,75,75,80,1002,395,12,0,15,0,0,0,      SANVU
2017083118, TY,64,40,40,40,45,1002,395,12,0,15,0,0,0,      SANVU
2017090100, TY,34,145,165,155,140,1004,410,10,0,10,0,0,0,      SANVU
2017090100, TY,50,80,90,85,75,1004,410,10,0,10,0,0,0,      SANVU
2017090100, TY,64,40,50,45,40,1004,410,10,0,10,0,0,0,      SANVU
2017090103, TY,34,210,290,185,180,1004,410,10,0,0,0,0,0,      SANVU
2017090103, TY,50,115,170,100,100,1004,410,10,0,0,0,0,0,      SANVU
2017090106, TY,34,160,175,170,145,1004,410,10,0,10,0,0,0,      SANVU
2017090106, TY,50,90,100,95,80,1004,410,10,0,10,0,0,0,      SANVU
2017090106, TY,64,45,50,50,40,1004,410,10,0,10,0,0,0,      SANVU
2017090112, TY,34,160,175,145,145,1004,410,10,0,10,0,0,0,      SANVU
2017090112, TY,50,100,105,90,80,1004,410,10,0,10,0,0,0,      SANVU
2017090112, TY,64,75,80,40,40,1004,410,10,0,10,0,0,0,      SANVU
2017090118, TY,34,170,185,155,135,1004,410,12,0,15,0,0,0,      SANVU
2017090118, TY,50,95,100,85,75,1004,410,12,0,15,0,0,0,      SANVU
2017090118, TY,64,70,75,35,35,1004,410,12,0,15,0,0,0,      SANVU
2017090200, TY,34,175,195,155,135,1004,410,12,0,0,0,0,0,      SANVU
2017090200, TY,50,95,105,85,75,1004,410,12,0,0,0,0,0,      SANVU
2017090200, TY,64,70,75,35,35,1004,410,12,0,0,0,0,0,      SANVU
2017090206, TS,34,190,220,175,150,1004,410,12,75,0,0,0,0,      SANVU
2017090206, TS,50,105,125,95,80,1004,410,12,75,0,0,0,0,      SANVU
2017090212, TS,34,190,220,175,150,1004,410,12,0,0,0,0,0,      SANVU
2017090212, TS,50,105,125,95,80,1004,410,12,0,0,0,0,0,      SANVU
2017090218, EX,34,190,220,175,150,1004,410,12,0,0,0,0,0,      SANVU
2017090218, EX,50,105,125,95,80,1004,410,12,0,0,0,0,0,      SANVU
2017090300, EX,34,190,220,175,150,1004,410,12,0,0,0,0,0,      SANVU
2017090300, EX,50,105,125,95,80,1004,410,12,0,0,0,0,0,      SANVU
2017090306, EX,34,210,290,185,180,1004,410,12,0,0,0,0,0,      SANVU
2017090306, EX,50,115,170,100,100,1004,410,12,0,0,0,0,0,      SANVU
