YYYYMMDDHH,TY,EYE,GUSTS,MRD,VMAX,MSLP,MAXSEAS,RAD,RAD1,RAD2,RAD3,RAD4,RADP,RRP,STORMNAME
2017101912, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017101918, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102000, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102006, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102012, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102018, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102100, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102106, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102112, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102118, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102200, TS,34,0,85,90,100,1006,250,60,0,0,0,0,0,      SAOLA
2017102206, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102212, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102218, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102300, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102306, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102312, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102318, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102400, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102406, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102412, LO,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102418, TD,0,0,0,0,0,1006,250,60,0,0,0,0,0,      SAOLA
2017102500, TS,34,135,140,135,95,1007,250,60,0,0,0,0,0,      SAOLA
2017102506, TS,34,200,170,135,100,1008,250,55,0,0,0,0,0,      SAOLA
2017102512, TS,34,200,170,145,95,1008,245,55,0,0,0,0,0,      SAOLA
2017102518, TS,34,90,150,175,160,1006,245,40,0,0,0,0,0,      SAOLA
2017102600, TS,34,90,140,150,90,1006,265,40,0,0,0,0,0,      SAOLA
2017102606, TS,34,130,120,110,95,1007,290,40,0,0,0,0,0,      SAOLA
2017102612, TS,34,115,85,70,100,1007,295,40,0,0,0,0,0,      SAOLA
2017102618, TS,34,135,105,85,125,1007,295,40,0,0,0,0,0,      SAOLA
2017102700, TS,34,150,90,90,140,1005,280,35,0,0,0,0,0,      SAOLA
2017102706, TS,34,140,110,100,130,1007,260,35,0,0,0,0,0,      SAOLA
2017102712, TS,34,165,210,105,130,1007,260,30,0,0,0,0,0,      SAOLA
2017102712, TS,50,90,80,30,55,1007,260,30,0,0,0,0,0,      SAOLA
2017102718, TS,34,165,170,200,175,1009,290,30,0,0,0,0,0,      SAOLA
2017102718, TS,50,90,90,110,95,1009,290,30,0,0,0,0,0,      SAOLA
2017102800, TS,34,170,160,135,155,1009,310,30,0,0,0,0,0,      SAOLA
2017102800, TS,50,90,95,75,85,1009,310,30,0,0,0,0,0,      SAOLA
2017102806, TY,34,170,170,140,160,1008,280,25,0,0,0,0,0,      SAOLA
2017102806, TY,50,95,100,80,95,1008,280,25,0,0,0,0,0,      SAOLA
2017102806, TY,64,40,45,30,35,1008,280,25,0,0,0,0,0,      SAOLA
2017102812, TY,34,170,170,150,170,1008,280,25,0,0,0,0,0,      SAOLA
2017102812, TY,50,115,115,80,80,1008,280,25,0,0,0,0,0,      SAOLA
2017102812, TY,64,45,45,35,40,1008,280,25,0,0,0,0,0,      SAOLA
2017102818, TS,34,180,190,155,150,1008,290,20,0,30,0,0,0,      SAOLA
2017102818, TS,50,125,110,85,80,1008,290,20,0,30,0,0,0,      SAOLA
2017102900, TS,34,220,190,175,145,1008,280,20,0,0,0,0,0,      SAOLA
2017102900, TS,50,110,100,80,80,1008,280,20,0,0,0,0,0,      SAOLA
2017102906, EX,34,210,190,180,140,1006,225,25,0,0,0,0,0,      SAOLA
2017102906, EX,50,95,85,80,75,1006,225,25,0,0,0,0,0,      SAOLA
2017102912, EX,34,200,185,180,130,1005,185,25,0,0,0,0,0,      SAOLA
2017102912, EX,50,95,85,75,60,1005,185,25,0,0,0,0,0,      SAOLA
